S.N.|Candidate|Party|EVM Votes|Postal Votes|Total Votes|% of Votes|UT_OR_STATE|CONSTITUENCY
3.0|NILESH BHAGWAN SAMBARE|Independent|230254|1163|231417|18.46|Maharashtra|Bhiwandi
4.0|KANCHAN VINAYAK VAKHARE|New Rashtriya Samaj Party|24607|18|24625|1.96|Maharashtra|Bhiwandi
5.0|TARA PINTYA WAGHE|Independent|6908|-|6908|0.55|Maharashtra|Bhiwandi
6.0|MUMATAZ ABDULSATTAR ANSARI|Bahujan Samaj Party|6801|21|6822|0.54|Maharashtra|Bhiwandi
7.0|MANISHA SANTOSH GONDHALE|Independent|5120|-|5120|0.41|Maharashtra|Bhiwandi
8.0|MANOJ GOVAR TURE|Independent|4896|1|4897|0.39|Maharashtra|Bhiwandi
9.0|JAHID MURABTAR ANSARI|Independent|4879|3|4882|0.39|Maharashtra|Bhiwandi
10.0|CHANDRAKANT RAMBHAJI MOTE|Independent|3429|4|3433|0.27|Maharashtra|Bhiwandi
11.0|RAHUL ASHOK KATHOLE|Independent|3131|4|3135|0.25|Maharashtra|Bhiwandi
12.0|ASHOK BHIKU BAHADARE|Sanyukt Bharat Paksh|2044|3|2047|0.16|Maharashtra|Bhiwandi
13.0|SURESH PANDAGALE|Apni Prajahit Party|1997|16|2013|0.16|Maharashtra|Bhiwandi
14.0|MILIND KASHINATH KAMBLE|Independent|1843|18|1861|0.15|Maharashtra|Bhiwandi
15.0|KHAN MOHD AKARAM ABDUL HANAN|All India Majlis-E-Ittehadul Muslimeen|1739|2|1741|0.14|Maharashtra|Bhiwandi
16.0|DANISH EZAZ AH. SHAIKH|Bahujan Maha Party|1580|6|1586|0.13|Maharashtra|Bhiwandi
17.0|HARSHAD RAMESH MHATRE|Independent|1568|-|1568|0.13|Maharashtra|Bhiwandi
18.0|MUTKIRI SHANKAR NAGESH|Independent|1445|-|1445|0.12|Maharashtra|Bhiwandi
19.0|KAPIL JAYHIND PATIL|Independent|1237|5|1242|0.1|Maharashtra|Bhiwandi
20.0|SAIFAN CHAND PATHAN|Bhartiya Manavta Party|1188|1|1189|0.09|Maharashtra|Bhiwandi
21.0|RANJANA RAVI TRIBHUWAN|Independent|1082|3|1085|0.09|Maharashtra|Bhiwandi
22.0|MOHD. KALEEM ANSARI|Peoples Party of India (Democratic)|934|3|937|0.07|Maharashtra|Bhiwandi
23.0|WASEEM TUFAIL SIDDIQUI|Independent|803|2|805|0.06|Maharashtra|Bhiwandi
24.0|SURESH SITARAM MHATRE|Independent|706|1|707|0.06|Maharashtra|Bhiwandi
25.0|SONALI ASHOK GANGAWANE|Independent|698|-|698|0.06|Maharashtra|Bhiwandi
26.0|AAPPA - VISHAL VIJAY MORE|Independent|598|3|601|0.05|Maharashtra|Bhiwandi
27.0|PROF. AMEERUL HASAN SAYYED|Independent|479|2|481|0.04|Maharashtra|Bhiwandi
28.0|NOTA|None of the Above|9266|81|9347|0.75|Maharashtra|Bhiwandi
|Total||1249338|4061|1253399||Maharashtra|Bhiwandi
1.0|DR. HEMANT VISHNU SAVARA|Bharatiya Janata Party|600208|1036|601244|43.69|Maharashtra|Palghar
2.0|BHARTI BHARAT KAMDI|Shiv Sena (Uddhav Balasaheb Thackrey)|416822|1116|417938|30.37|Maharashtra|Palghar
3.0|RAJESH RAGHUNATH PATIL|Bahujan Vikas Aaghadi|254011|506|254517|18.5|Maharashtra|Palghar
4.0|BHARAT SAMJI VANGA|Bahujan Samaj Party|15425|40|15465|1.12|Maharashtra|Palghar
5.0|MEENA KISHOR BHAD|Independent|14223|12|14235|1.03|Maharashtra|Palghar
6.0|VIJAYA RAJKUMAR MHATRE|Vanchit Bahujan Aaghadi|10882|54|10936|0.79|Maharashtra|Palghar
7.0|MOHAN BARAKU GUHE|Bharat Adivasi Party|10737|24|10761|0.78|Maharashtra|Palghar
8.0|DINKAR DATTATRAYA WADHAN|Independent|10672|15|10687|0.78|Maharashtra|Palghar
9.0|AMAR KISAN KAVALE|Independent|9806|15|9821|0.71|Maharashtra|Palghar
10.0|COMRADE RAHUL MEDHA|Marxist Leninist Party of India (Red Flag)|7061|24|7085|0.51|Maharashtra|Palghar
11.0|NOTA|None of the Above|23312|73|23385|1.7|Maharashtra|Palghar
|Total||1373159|2915|1376074||Maharashtra|Palghar
1.0|RAJABHAU (PARAG) PRAKASH WAJE|Shiv Sena (Uddhav Balasaheb Thackrey)|614517|2212|616729|49.85|Maharashtra|Nashik
2.0|GODSE HEMANT TUKARAM|Shiv Sena|453414|1314|454728|36.75|Maharashtra|Nashik
3.0|KARAN PANDHARINATH GAIKAR|Vanchit Bahujan Aaghadi|47114|79|47193|3.81|Maharashtra|Nashik
4.0|SHANTIGIRIJI MAUNGIRIJI MAHARAJ|Independent|44415|109|44524|3.6|Maharashtra|Nashik
5.0|ARUN MADHUKAR KALE|Bahujan Samaj Party|7698|53|7751|0.63|Maharashtra|Nashik
6.0|CHANDRAKANT KESHAVRAO THAKUR|Independent|6607|1|6608|0.53|Maharashtra|Nashik
7.0|AMOL SAMPATRAO KAMBLE|Rashtriya Kisan Bahujan Party|4980|17|4997|0.4|Maharashtra|Nashik
8.0|DARSHANA AMOL MEDHE|Prabuddha Republican Party|4730|6|4736|0.38|Maharashtra|Nashik
9.0|KANOJE PRAKASH GIRDHARI|Independent|3917|3|3920|0.32|Maharashtra|Nashik
10.0|VAMAN MAHADEV SANGALE|Dharmarajya Paksha|3861|-|3861|0.31|Maharashtra|Nashik
11.0|SUDHIR SHRIDHAR DESHMUKH|Independent|3162|5|3167|0.26|Maharashtra|Nashik
12.0|JITENDRA NARESH BHABHE (JITENDRA BHAVE)|Independent|3125|7|3132|0.25|Maharashtra|Nashik
13.0|ARIF USMAN MANSURI|Independent|2538|5|2543|0.21|Maharashtra|Nashik
14.0|GANESH BALASAHEB BORASTE|Independent|2403|1|2404|0.19|Maharashtra|Nashik
15.0|JAYSHRI MAHENDRA PATIL|Sainik Samaj Party|2398|28|2426|0.2|Maharashtra|Nashik
16.0|SIDDHESHWARANAND SARASWATI|Independent|2378|10|2388|0.19|Maharashtra|Nashik
17.0|SUSHAMA ABHIJIT GORANE|Independent|2258|2|2260|0.18|Maharashtra|Nashik
18.0|KANTILAL KISAN JADHAV|Ambedkarite Party of India|2047|8|2055|0.17|Maharashtra|Nashik
19.0|CHANDRABHAN AABAJI PURKAR|Independent|1888|2|1890|0.15|Maharashtra|Nashik
20.0|YASHWANT VALU PARDHI|Bhartiya Asmita Party|1867|7|1874|0.15|Maharashtra|Nashik
21.0|KAILASH MARUTI CHAVAN|Aam Janta Party (India)|1686|17|1703|0.14|Maharashtra|Nashik
22.0|KAMLAKAR BALASAHEB GAIKWAD|Dalit Soshit Pichhara Varg Adhikar Dal|1639|7|1646|0.13|Maharashtra|Nashik
23.0|DHANAJI ASHOK TOPALE|Independent|1376|-|1376|0.11|Maharashtra|Nashik
24.0|BHAGYASHRI NITIN ADSUL|Indian Peoples Adhikar Party|1242|2|1244|0.1|Maharashtra|Nashik
25.0|SOPAN NIVRUTTI SOMWANSHI|Independent|1210|1|1211|0.1|Maharashtra|Nashik
26.0|ADV. ZUNJAR MHASUJI AVHAD|Bahujan Republican Socialist Party|1205|5|1210|0.1|Maharashtra|Nashik
27.0|KOLAPPA HANUMANT DHOTRE|Independent|1198|2|1200|0.1|Maharashtra|Nashik
28.0|TILOTTAMA SUNIL JAGTAP|Independent|654|2|656|0.05|Maharashtra|Nashik
29.0|DEEPAK GAIKWAD|Independent|640|2|642|0.05|Maharashtra|Nashik
30.0|SACHINRAJE DATTATREYA DEORE|Independent|549|2|551|0.04|Maharashtra|Nashik
31.0|DEVIDAS PIRAJI SARKATE|Independent|392|2|394|0.03|Maharashtra|Nashik
32.0|NOTA|None of the Above|6144|41|6185|0.5|Maharashtra|Nashik
|Total||1233252|3952|1237204||Maharashtra|Nashik
1.0|BHASKAR MURLIDHAR BHAGARE|Nationalist Congress Party – Sharadchandra Pawar|575291|2048|577339|46.53|Maharashtra|Dindori
2.0|DR. BHARATI PRAVIN PAWAR|Bharatiya Janata Party|462333|1807|464140|37.4|Maharashtra|Dindori
3.0|BABU SADU BHAGRE (SIR)|Independent|103526|106|103632|8.35|Maharashtra|Dindori
4.0|DHOMSE MALATI RAHUL|Vanchit Bahujan Aaghadi|37006|97|37103|2.99|Maharashtra|Dindori
5.0|JAGTAP DIPAK GANPAT|Independent|15664|17|15681|1.26|Maharashtra|Dindori
6.0|TULSHIRAM CHIMAN KHOTARE|Bahujan Samaj Party|9589|65|9654|0.78|Maharashtra|Dindori
7.0|KISHOR AMBADAS DAGALE|Ambedkarite Party of India|8032|23|8055|0.65|Maharashtra|Dindori
8.0|ANIL GAWALIRAM BARDE|Independent|6432|9|6441|0.52|Maharashtra|Dindori
9.0|BHARAT ARUN PAWAR|Bahujan Republican Socialist Party|5613|8|5621|0.45|Maharashtra|Dindori
10.0|GULAB MOHAN BARDE|Prabuddha Republican Party|4983|15|4998|0.4|Maharashtra|Dindori
11.0|NOTA|None of the Above|8206|40|8246|0.66|Maharashtra|Dindori
|Total||1236675|4235|1240910||Maharashtra|Dindori
1.0|BHUMARE SANDIPANRAO ASARAM|Shiv Sena|474434|1696|476130|36.56|Maharashtra|Aurangabad
2.0|IMTIAZ JALEEL SYED|All India Majlis-E-Ittehadul Muslimeen|340877|603|341480|26.22|Maharashtra|Aurangabad
3.0|CHANDRAKANT KHAIRE|Shiv Sena (Uddhav Balasaheb Thackrey)|291870|1580|293450|22.53|Maharashtra|Aurangabad
4.0|AFSAR KHAN YASEEN KHA|Vanchit Bahujan Aaghadi|69087|179|69266|5.32|Maharashtra|Aurangabad
5.0|HARSHWARDHAN DADA RAIBHANJI JADHAV|Independent|39654|174|39828|3.06|Maharashtra|Aurangabad
6.0|SURENDRA DIGAMBAR GAJBHARE|Independent|10719|6|10725|0.82|Maharashtra|Aurangabad
7.0|SANJAY UTTAMRAO JAGTAP|Bahujan Samaj Party|8188|64|8252|0.63|Maharashtra|Aurangabad
8.0|RAVINDRA BHASKARRAO BODKHE|Bharatiya Yuva Jan Ekta Party|6250|4|6254|0.48|Maharashtra|Aurangabad
9.0|ABDUL AZIM ABDUL AZIZ SHAIKH|Independent|4693|-|4693|0.36|Maharashtra|Aurangabad
10.0|SANJAY BHASKAR SHIRSAT|Independent|3809|3|3812|0.29|Maharashtra|Aurangabad
11.0|DR JIVAN BHAWLAL RAJPUT|Independent|3788|19|3807|0.29|Maharashtra|Aurangabad
12.0|MANISHA KHARAT|Bahujan Maha Party|3097|8|3105|0.24|Maharashtra|Aurangabad
13.0|JAGANNATH KHANDERAO JADHAV J K JADHAV|Independent|2916|16|2932|0.23|Maharashtra|Aurangabad
14.0|MAANOJ VINAYAKRAO GHODKAY|Independent|2582|5|2587|0.2|Maharashtra|Aurangabad
15.0|SANGITA GANESH JADHAV|Independent|2206|6|2212|0.17|Maharashtra|Aurangabad
16.0|GALPHADE ARJUN BHAGWANRAO|Rashtriya Kisan Bahujan Party|2185|7|2192|0.17|Maharashtra|Aurangabad
17.0|VISHAL UDDHAV NANDARKAR|Independent|2132|7|2139|0.16|Maharashtra|Aurangabad
18.0|ARVIND KISANRAO KAMBLE|Bahujan Republican Socialist Party|1975|4|1979|0.15|Maharashtra|Aurangabad
19.0|PRASHANT PUNDALIKRAO AVHALE|Independent|1945|3|1948|0.15|Maharashtra|Aurangabad
20.0|GHUGE NITIN PUNDLIK|Independent|1870|2|1872|0.14|Maharashtra|Aurangabad
21.0|BHALERAO VASANT SAMBHAJI|Prabuddha Republican Party|1546|1|1547|0.12|Maharashtra|Aurangabad
22.0|BHARAT PURUSHOTTAM KADAM|Rashtriya Maratha Party|1489|6|1495|0.11|Maharashtra|Aurangabad
23.0|ABDUL SAMAD BAGWAN|All India Majlis-E-Inquilab-E-Millat|1478|4|1482|0.11|Maharashtra|Aurangabad
24.0|SANDIP DADARAO MANKAR|Independent|1373|2|1375|0.11|Maharashtra|Aurangabad
25.0|ADV B U GOSAWI|Hindustan Janta Party|1271|4|1275|0.1|Maharashtra|Aurangabad
26.0|PANCHASHILA BABULAL JADHAV|Republican Bahujan Sena|1267|7|1274|0.1|Maharashtra|Aurangabad
27.0|PRATIKSHA PRASHANT CHAVAN|Ambedkarist Republican Party|1187|7|1194|0.09|Maharashtra|Aurangabad
28.0|BHANUDAS SON OF RAMDAS SARODE PATIL|Independent|1107|3|1110|0.09|Maharashtra|Aurangabad
29.0|NARAYAN JADHAV|Peoples Party of India (Democratic)|1100|3|1103|0.08|Maharashtra|Aurangabad
30.0|SURESH ASARAM FULARE|Independent|910|1|911|0.07|Maharashtra|Aurangabad
31.0|SHAIKH KHAJA KISMATWALA KASIM KISMATWALA|Independent|892|2|894|0.07|Maharashtra|Aurangabad
32.0|MEENASING AVDHESHSING SING|Independent|783|1|784|0.06|Maharashtra|Aurangabad
33.0|LATIF JABBAR KHAN|Independent|765|-|765|0.06|Maharashtra|Aurangabad
34.0|JAGANNATH KISAN UGALE|Independent|753|2|755|0.06|Maharashtra|Aurangabad
35.0|SANDIP DEVIDAS JADHAV|Independent|609|-|609|0.05|Maharashtra|Aurangabad
36.0|DEVIDAS RATAN KASBE|Independent|595|-|595|0.05|Maharashtra|Aurangabad
37.0|TRIBHUVAN MADHUKAR PADMAKAR|Independent|593|-|593|0.05|Maharashtra|Aurangabad
38.0|NOTA|None of the Above|5729|44|5773|0.44|Maharashtra|Aurangabad
|Total||1297724|4473|1302197||Maharashtra|Aurangabad
1.0|KALYAN VAIJINATHRAO KALE|Indian National Congress|605504|2393|607897|44.59|Maharashtra|Jalna
2.0|DANVE RAOSAHEB DADARAO|Bharatiya Janata Party|495809|2130|497939|36.52|Maharashtra|Jalna
3.0|MANGESH SANJAY SABLE|Independent|155335|595|155930|11.44|Maharashtra|Jalna
4.0|BAKALE PRABHAKAR DEVGAN|Vanchit Bahujan Aaghadi|37678|132|37810|2.77|Maharashtra|Jalna
5.0|BABASAHEB SANTUKRAO SHELKE|Samata Party|9564|6|9570|0.7|Maharashtra|Jalna
6.0|CHABUKSWAR RAHUL NIRANJAN|Independent|6330|7|6337|0.46|Maharashtra|Jalna
7.0|NIVRUTTI VISHWNATH BANSODE|Bahujan Samaj Party|5974|34|6008|0.44|Maharashtra|Jalna
8.0|DIPAK BHIMRAO BORHADE|Samnak Janta Party|5498|24|5522|0.41|Maharashtra|Jalna
9.0|TANAJI TUKARAM BHOJANE|Independent|4933|15|4948|0.36|Maharashtra|Jalna
10.0|KAMBLE MAROTI DASHARATH|Independent|3712|16|3728|0.27|Maharashtra|Jalna
11.0|RAJENDRA NAMDEO MAGRE|Independent|2873|2|2875|0.21|Maharashtra|Jalna
12.0|MANOJ NEMINATH KOLTE|Independent|2734|3|2737|0.2|Maharashtra|Jalna
13.0|MUKESH PRABHAT RATHOD|Akhil Bhartiya Parivar Party|2580|11|2591|0.19|Maharashtra|Jalna
14.0|BABASAHEB PATIL SHINDE|Independent|2413|4|2417|0.18|Maharashtra|Jalna
15.0|KADUBA MHATARBA INGLE|Independent|1962|5|1967|0.14|Maharashtra|Jalna
16.0|AJHAR ANWAR SAYYAD|Independent|1541|5|1546|0.11|Maharashtra|Jalna
17.0|AHMAD RAHIM SAIKH BAGWAN|Independent|1390|4|1394|0.1|Maharashtra|Jalna
18.0|ADV. YOGESH DATTU GULLAPELLI|Independent|1339|3|1342|0.1|Maharashtra|Jalna
19.0|BHAGWAN SAHEBRAO REGUDE|Hindustan Janta Party|1173|1|1174|0.09|Maharashtra|Jalna
20.0|DNYANESHWAR DAGDUJI NADE|Independent|1142|1|1143|0.08|Maharashtra|Jalna
21.0|DHANANJAY RUPRAOJI KAKDE (PATIL)|Bharatheeya Jawan Kisan Party|1132|7|1139|0.08|Maharashtra|Jalna
22.0|ABDUL RAFIQ ABDUL LATIF|Independent|1045|2|1047|0.08|Maharashtra|Jalna
23.0|SHYAM RUSTUMRAO SHIRSATH|Bahujan Republican Socialist Party|972|2|974|0.07|Maharashtra|Jalna
24.0|RATAN ASARAM LANDGE|Independent|646|1|647|0.05|Maharashtra|Jalna
25.0|VIKAS CHHAGAN LAHANE|Independent|644|-|644|0.05|Maharashtra|Jalna
26.0|SHAM PAWALS RUPEKAR|Independent|544|2|546|0.04|Maharashtra|Jalna
27.0|NOTA|None of the Above|3504|33|3537|0.26|Maharashtra|Jalna
|Total||1357971|5438|1363409||Maharashtra|Jalna
1.0|JADHAV SANJAY ( BANDU ) HARIBHAU|Shiv Sena (Uddhav Balasaheb Thackrey)|596871|4472|601343|45.17|Maharashtra|Parbhani
2.0|JANKAR MAHADEV JAGANNATH|Rashtriya Samaj Paksha|463764|3518|467282|35.1|Maharashtra|Parbhani
3.0|PANJAB UTTAMRAO DAKH|Vanchit Bahujan Aaghadi|95394|573|95967|7.21|Maharashtra|Parbhani
4.0|DR. GOVARDHAN BHIWAJI KHANDAGALE|Bahujan Bharat Party|15355|40|15395|1.16|Maharashtra|Parbhani
5.0|KAMBLE SHIVAJI DEVAJI|Independent|11050|10|11060|0.83|Maharashtra|Parbhani
6.0|ALAMGIR MOHAMMAD KHAN|Bahujan Samaj Party|10972|90|11062|0.83|Maharashtra|Parbhani
7.0|SAMIR GANESHRAO DUDHGAONKAR|Independent|10951|105|11056|0.83|Maharashtra|Parbhani
8.0|KRUSHNA TRIMBAKRAO PAWAR|Independent|10145|9|10154|0.76|Maharashtra|Parbhani
9.0|KAILAS BALIRAM PAWAR (NAIK)|Baliraja Party|9487|33|9520|0.72|Maharashtra|Parbhani
10.0|PROF. DR. VILAS BANSIDHAR TANGADE|Independent|8814|6|8820|0.66|Maharashtra|Parbhani
11.0|ARJUN DNYANOBA BHISE|Independent|6915|8|6923|0.52|Maharashtra|Parbhani
12.0|COMRADE RAJAN KSHIRSAGAR|Communist Party of India|6627|22|6649|0.5|Maharashtra|Parbhani
13.0|KISHORKUMAR PRAKASH SHINDE|Independent|6547|1|6548|0.49|Maharashtra|Parbhani
14.0|KISHORE RADHAKISHAN DHAGE|Independent|5446|34|5480|0.41|Maharashtra|Parbhani
15.0|SAYED IRSHAD ALI SAYYED LAYAKH ALI|Social Democratic Party Of India|4629|15|4644|0.35|Maharashtra|Parbhani
16.0|DASHARATH PRABHKAR RATHOD|Maharashtra Vikas Aghadi|4354|40|4394|0.33|Maharashtra|Parbhani
17.0|KARBHARI KUNDLIK MITHE|Independent|4268|8|4276|0.32|Maharashtra|Parbhani
18.0|APPASAHEB OMKAR KADAM|Independent|3883|8|3891|0.29|Maharashtra|Parbhani
19.0|SHRIRAM BANSILAL JADHAV|Jai Sewalal Bahujan Vikas Party|3617|11|3628|0.27|Maharashtra|Parbhani
20.0|COMRADE GANPAT BHISE|Independent|3589|15|3604|0.27|Maharashtra|Parbhani
21.0|DNYANESHWAR JAGANNATH DAHIBHATE|Independent|3538|1|3539|0.27|Maharashtra|Parbhani
22.0|ANIL MANIKRAO MUDGALKAR|Independent|3531|2|3533|0.27|Maharashtra|Parbhani
23.0|GOVIND BHAIYYA RAMRAO DESHMUKH|Independent|3452|7|3459|0.26|Maharashtra|Parbhani
24.0|SUBHASH DATTARAV JAVLE|Independent|3429|5|3434|0.26|Maharashtra|Parbhani
25.0|RAJABHAU SHESHRAO KAKDE|Independent|3299|3|3302|0.25|Maharashtra|Parbhani
26.0|RAJENDRA RAMDAS ATKAL|Independent|2807|5|2812|0.21|Maharashtra|Parbhani
27.0|SAYYD ABDUL SATTAR AJIJ|Independent|2646|4|2650|0.2|Maharashtra|Parbhani
28.0|SHAIKH SALEEM SHAIKH IBRAHIM|All India Majlis-E-Inquilab-E-Millat|2617|2|2619|0.2|Maharashtra|Parbhani
29.0|SANGEETA VYAKANTRAO GIRI|Swarajya Shakti Sena|2324|15|2339|0.18|Maharashtra|Parbhani
30.0|ADV. VINOD CHHAGANRAO AMBHORE|Bahujan Mukti Party|2017|24|2041|0.15|Maharashtra|Parbhani
31.0|VIJAY ANNASAHEB THOMBARE|Independent|1957|2|1959|0.15|Maharashtra|Parbhani
32.0|VISHNUDAS SHIVAJI BHOSALE|Independent|1856|4|1860|0.14|Maharashtra|Parbhani
33.0|MUSTAFA MAINODDIN SHAIKH|Independent|1298|4|1302|0.1|Maharashtra|Parbhani
34.0|BOBADE SAKHARAM PADEGAONKAR|Independent|1244|2|1246|0.09|Maharashtra|Parbhani
35.0|NOTA|None of the Above|3306|79|3385|0.25|Maharashtra|Parbhani
|Total||1321999|9177|1331176||Maharashtra|Parbhani
1.0|CHAVAN VASANTRAO BALWANTRAO|Indian National Congress|526865|2029|528894|46.88|Maharashtra|Nanded
2.0|CHIKHALIKAR PRATAPRAO GOVINDRAO|Bharatiya Janata Party|467452|2000|469452|41.61|Maharashtra|Nanded
3.0|AVINASH VISHWANATH BHOSIKAR|Vanchit Bahujan Aaghadi|92090|422|92512|8.2|Maharashtra|Nanded
4.0|PANDURANG RAMA ADGULWAR|Bahujan Samaj Party|6879|22|6901|0.61|Maharashtra|Nanded
5.0|NIKHIL LAXMANRAO GARJE|Independent|4320|5|4325|0.38|Maharashtra|Nanded
6.0|NAGESH SAMBHAJI GAIKWAD|Independent|3316|2|3318|0.29|Maharashtra|Nanded
7.0|BHASKAR CHAMPATRAO DOIFODE|Independent|2078|2|2080|0.18|Maharashtra|Nanded
8.0|SUSHILA NILKANTHRAO PAWAR|Samnak Janta Party|1873|17|1890|0.17|Maharashtra|Nanded
9.0|ABDUL RAIS AHEMAD|Desh Janhit Party|1508|2|1510|0.13|Maharashtra|Nanded
10.0|DEVIDAS GOVINDRAO INGLE|Independent|1466|5|1471|0.13|Maharashtra|Nanded
11.0|KALPANA SANJAY GAIKWAD|Independent|1305|5|1310|0.12|Maharashtra|Nanded
12.0|KAUSAR SULTANA|Indian National League|1211|4|1215|0.11|Maharashtra|Nanded
13.0|SAHEBRAO BHIVA GAJBHARE|Independent|1189|4|1193|0.11|Maharashtra|Nanded
14.0|JAGDISH LAXMAN POTRE|Independent|960|3|963|0.09|Maharashtra|Nanded
15.0|GAJANAN DATTRAMJI DHUMAL|Independent|948|2|950|0.08|Maharashtra|Nanded
16.0|LAXMAN NAGORAO PATIL|Independent|921|2|923|0.08|Maharashtra|Nanded
17.0|MAHARUDRA KESHAV POPLAITKAR|Independent|911|2|913|0.08|Maharashtra|Nanded
18.0|RUKMINBAI SHANKARRAO GITE|Bharatiya Praja Surajya Paksha|897|6|903|0.08|Maharashtra|Nanded
19.0|HARI PIRAJI BOYALE|Bahujan Bharat Party|877|1|878|0.08|Maharashtra|Nanded
20.0|RATHOD SURESH GOPINATH|Independent|806|2|808|0.07|Maharashtra|Nanded
21.0|KADAM SURAJ DEVENDRA|Independent|796|3|799|0.07|Maharashtra|Nanded
22.0|RAHUL SURYAKANT YANGADE|Bahujan Mukti Party|734|3|737|0.07|Maharashtra|Nanded
23.0|DNYANESHWAR RAOSAHEB KAPATE|Independent|679|2|681|0.06|Maharashtra|Nanded
24.0|NOTA|None of the Above|3579|49|3628|0.32|Maharashtra|Nanded
|Total||1123660|4594|1128254||Maharashtra|Nanded
1.0|AASHTIKAR PATIL NAGESH BAPURAO|Shiv Sena (Uddhav Balasaheb Thackrey)|490432|2103|492535|42.49|Maharashtra|Hingoli
2.0|BABURAO KADAM KOHALIKAR|Shiv Sena|382599|1334|383933|33.12|Maharashtra|Hingoli
3.0|DR. B. D. CHAVHAN|Vanchit Bahujan Aaghadi|161324|490|161814|13.96|Maharashtra|Hingoli
4.0|AMBADAS SUKAJI GADE|Independent|14729|13|14742|1.27|Maharashtra|Hingoli
5.0|VIJAY RAMJI GABHANE|Communist Party of India (Marxist)|14617|27|14644|1.26|Maharashtra|Hingoli
6.0|ANAND RAJARAM DHULE|Independent|9807|10|9817|0.85|Maharashtra|Hingoli
7.0|GAJANAN DHONDBA DAL|Bahujan Samaj Party|7410|55|7465|0.64|Maharashtra|Hingoli
8.0|DATTA SHRIKRISHNA SURYAWANSHI|Independent|7233|6|7239|0.62|Maharashtra|Hingoli
9.0|SARJERAO NIVRUTTI KHANDARE|Independent|5010|4|5014|0.43|Maharashtra|Hingoli
10.0|RAMPRASAD NARAYAN BANGAR|Independent|4518|7|4525|0.39|Maharashtra|Hingoli
11.0|BABURAO ANANDRAO KADAM|Independent|4469|13|4482|0.39|Maharashtra|Hingoli
12.0|DEVSARKAR VARSHA SHIVAJIRAO|Bahujan Mukti Party|4081|18|4099|0.35|Maharashtra|Hingoli
13.0|A. KADIR MASTAN SAYYED (GOREGAONKAR)|Independent|3707|6|3713|0.32|Maharashtra|Hingoli
14.0|ANIL DEVRAO MOHITE|Akhil Bhartiya Parivar Party|3353|21|3374|0.29|Maharashtra|Hingoli
15.0|SUNIL MOTIRAM GAJBHAR|Independent|3192|-|3192|0.28|Maharashtra|Hingoli
16.0|ADV ALTAF AHMED|Indian National League|2934|16|2950|0.25|Maharashtra|Hingoli
17.0|ASHOK PANDURANG RATHOD|Independent|2897|9|2906|0.25|Maharashtra|Hingoli
18.0|ADV RAVI SHINDE|Independent|2687|14|2701|0.23|Maharashtra|Hingoli
19.0|SATTAR PATHAN|Independent|2461|2|2463|0.21|Maharashtra|Hingoli
20.0|MAHESH KAILAS NAPTE|Independent|2298|1|2299|0.2|Maharashtra|Hingoli
21.0|ADV. SHIVAJIRAO JADHAV|Independent|2181|33|2214|0.19|Maharashtra|Hingoli
22.0|BHAWAR GOVINDRAO FULAJI|Independent|2138|8|2146|0.19|Maharashtra|Hingoli
23.0|TRISHALA MILIND KAMBLE|Bahujan Samaj Party (Ambedkar)|2128|22|2150|0.19|Maharashtra|Hingoli
24.0|PRAKASH MASARAM RANVIR|Republican Party of India (A)|2097|5|2102|0.18|Maharashtra|Hingoli
25.0|ADV. RAMRAO ATMARAM JUMBADE|Independent|2095|9|2104|0.18|Maharashtra|Hingoli
26.0|DESHA SHYAM BANJARA|Samnak Janta Party|2052|11|2063|0.18|Maharashtra|Hingoli
27.0|VISHVANATH BHAURAO FALEGAONKAR|Independent|1856|3|1859|0.16|Maharashtra|Hingoli
28.0|HEMANT RADHAKISHAN KANAKE|Rashtriya Kisan Bahujan Party|1791|9|1800|0.16|Maharashtra|Hingoli
29.0|RAVI RAMDAS JADHAV (SAWANEKAR)|Abhinav Bharat Janseva Paksh|1590|12|1602|0.14|Maharashtra|Hingoli
30.0|DEWJI GANGARAM ASOLE|Independent|1476|7|1483|0.13|Maharashtra|Hingoli
31.0|VIJAY DNYANBA RAUT|Independent|1115|11|1126|0.1|Maharashtra|Hingoli
32.0|SUNIL DASHARATH INGOLE|Bhim Sena|1024|4|1028|0.09|Maharashtra|Hingoli
33.0|VASANT KISAN PAIKRAO|Independent|590|3|593|0.05|Maharashtra|Hingoli
34.0|NOTA|None of the Above|3079|44|3123|0.27|Maharashtra|Hingoli
|Total||1154970|4330|1159300||Maharashtra|Hingoli
1.0|SANJAY UTTAMRAO DESHMUKH|Shiv Sena (Uddhav Balasaheb Thackrey)|591899|2908|594807|48.53|Maharashtra|Yavatmal- Washim
2.0|RAJSHRITAI HEMANT PATIL (MAHALLE)|Shiv Sena|498514|1820|500334|40.83|Maharashtra|Yavatmal- Washim
3.0|ANIL JAYRAM RATHOD|Samnak Janta Party|56175|215|56390|4.6|Maharashtra|Yavatmal- Washim
4.0|HARISING (HARIBHAU) NASARU RATHOD|Bahujan Samaj Party|17256|140|17396|1.42|Maharashtra|Yavatmal- Washim
5.0|SANGITA DINESH CHAVHAN|Independent|7169|11|7180|0.59|Maharashtra|Yavatmal- Washim
6.0|RAMDAS BAJIRAO GHODAM|Independent|6776|5|6781|0.55|Maharashtra|Yavatmal- Washim
